Second,CH1,CH2
+3.940000E-07,-6.000012E-02,-7.999999E-03
+3.960000E-07,-6.000012E-02,-1.000000E-02
+3.980000E-07,-6.000012E-02,-1.000000E-02
+4.000000E-07,-2.000004E-02,-1.000000E-02
+4.020000E-07,-2.000004E-02,-1.000000E-02
+4.040000E-07,-2.000004E-02,-1.000000E-02
+4.060000E-07,-2.000004E-02,-1.200000E-02
+4.080000E-07,-2.000004E-02,-1.200000E-02
+4.100000E-07,+2.000004E-02,-1.000000E-02
+4.120000E-07,+2.000004E-02,-1.200000E-02
+4.140000E-07,+2.000004E-02,-1.200000E-02
+4.160000E-07,+2.000004E-02,-1.200000E-02
+4.180000E-07,+2.000004E-02,-1.200000E-02
+4.200000E-07,+2.000004E-02,-1.000000E-02
+4.220000E-07,+2.000004E-02,-1.000000E-02
+4.240000E-07,+2.000004E-02,-1.000000E-02
+4.260000E-07,+2.000004E-02,-1.000000E-02
+4.280000E-07,+2.000004E-02,-1.000000E-02
+4.300000E-07,+5.999982E-02,-7.999999E-03
+4.320000E-07,+2.000004E-02,-1.000000E-02
+4.340000E-07,+2.000004E-02,-1.000000E-02
+4.360000E-07,+2.000004E-02,-1.000000E-02
+4.380000E-07,+2.000004E-02,-1.000000E-02
+4.400000E-07,+2.000004E-02,-1.000000E-02
+4.420000E-07,-2.000004E-02,-1.000000E-02
+4.440000E-07,-2.000004E-02,-1.000000E-02
+4.460000E-07,-2.000004E-02,-1.000000E-02
+4.480000E-07,-2.000004E-02,-1.000000E-02
+4.500000E-07,-2.000004E-02,-7.999999E-03
+4.520000E-07,-6.000012E-02,-1.000000E-02
+4.540000E-07,-6.000012E-02,-7.999999E-03
+4.560000E-07,-6.000012E-02,-7.999999E-03
+4.580000E-07,-6.000012E-02,-7.999999E-03
+4.600000E-07,-6.000012E-02,-7.999999E-03
+4.620000E-07,-6.000012E-02,-7.999999E-03
+4.640000E-07,-6.000012E-02,-6.000000E-03
+4.660000E-07,-6.000012E-02,-6.000000E-03
+4.680000E-07,-6.000012E-02,-6.000000E-03
+4.700000E-07,-2.000004E-02,-4.000000E-03
